date,cpi_rate,gdp_value,usd_vnd_rate,xau_usd_rate,market_cap,pe_ratio,fpt_net_revenue,fpt_gross_profit,fpt_operating_profit,fpt_net_profit,fpt_stock_price,fpt_stock_volume
2022-11-11,,,24869.0,1773.17,,,,,,,45.74,1004524.0
2022-11-14,,,24830.0,1775.36,,,,,,,44.48,1642109.0
2022-11-15,,,24848.5,1786.68,,,,,,,41.4,3123365.0
2022-11-16,,,24807.5,1785.49,,,,,,,43.54,3056552.0
2022-11-17,,,24836.0,1775.2,,,,,,,44.61,1548529.0
2022-11-18,,,24816.0,1767.98,,,,,,,44.92,1264028.0
2022-11-21,,,24842.5,1753.52,,,,,,,44.04,842416.0
2022-11-22,,,24854.5,1749.98,,,,,,,44.29,1178595.0
2022-11-23,,,24852.5,1753.54,,,,,,,44.29,467451.0
2022-11-24,,,24851.5,1759.08,,,,,,,44.29,789675.0
2022-11-25,,,24853.5,1761.58,92100000000000.0,15.2,,,,,45.24,1268624.0
2022-11-28,,,24826.5,1764.08,,,,,,,46.68,1151034.0
2022-11-29,0.0437,,24795.0,1759.33,,,,,,,46.68,1146480.0
2022-11-30,,,24741.5,1770.39,,,,,,,46.87,914889.0
2022-12-01,,,24550.0,1804.32,,,,,,,46.93,1779052.0
2022-12-02,,,24455.0,1804.93,,,,,,,48.63,2906008.0
2022-12-05,,,24125.0,1810.33,,,,,,,49.19,1221587.0
2022-12-06,,,24095.0,1781.46,,,,,,,47.75,1541582.0
2022-12-07,,,24015.0,1790.92,,,,,,,48.06,1031634.0
2022-12-08,,,23930.0,1795.18,,,,,,,48.38,1269574.0
2022-12-09,,,23625.0,1806.45,,,,,,,49.01,989370.0
2022-12-12,,,23705.0,1798.0,,,,,,,48.38,1215379.0
2022-12-13,,,23705.0,1824.87,,,,,,,48.5,901395.0
2022-12-14,,,23575.0,1814.19,,,,,,,47.94,1159669.0
2022-12-15,,,23592.5,1809.09,,,,,,,48.82,1172479.0
2022-12-16,,,23610.0,1794.69,,,,,,,48.94,912560.0
2022-12-19,,,23715.0,1799.1,,,,,,,48.13,1028326.0
2022-12-20,,,23855.0,1821.6,,,,,,,48.13,787843.0
2022-12-21,,,23760.0,1824.39,,,,,,,48.5,545497.0
2022-12-22,,,23745.0,1821.1,,,,,,,48.5,659431.0
2022-12-23,,,23675.0,1803.6,,,,,,,49.01,1222704.0
2022-12-26,,,23657.5,1798.78,,,,,,,48.0,833640.0
2022-12-27,,,23630.0,1833.39,,,,,,,48.06,806989.0
2022-12-28,,,23642.5,1815.18,,,,,,,48.19,590282.0
2022-12-29,0.0455,,23675.0,1820.52,,,,,,,47.87,656647.0
2022-12-30,,,23645.0,1826.73,,,,,,,48.31,629719.0
