date,fpt_stock_price_log_return_scaled,market_cap_log_return,fpt_stock_price_log_return,gdp_value,cpi_rate,fpt_stock_price,fpt_stock_volume_log_return,fpt_net_revenue_log_return,usd_vnd_rate_log_return,xau_usd_rate_log_return
2020-05-08,0.1518061598948242,0.0,0.0035778213478839024,346615738537.8,0.0289999999999999,19.6,0.5684573209043619,0.0,0.001812077455822694,0.0014739251430904458
2020-05-11,0.26892523887222725,0.0,0.005596554928157302,346615738537.8,0.0289999999999999,19.71,-0.5257005462690685,0.0,-0.0029863503422926947,-0.006334675932816359
2020-05-12,0.38408621271096993,0.0,0.007581537452397533,346615738537.8,0.0289999999999999,19.86,0.28848974645952113,0.0,-0.0009617954254648746,-0.001535896771995104
2020-05-13,3.458003008331393,0.0,0.06056538186499428,346615738537.8,0.0289999999999999,21.1,0.8851677709619191,0.0,-0.00010692328264668696,0.004251516156492884
2020-05-14,-0.8029422139798239,0.0,-0.012878785209140375,346615738537.8,0.0289999999999999,20.83,-0.9702937573355197,0.0,0.0002565966742043353,0.011002318950945965
2020-05-15,-0.8974063165000934,0.0,-0.014507024242038254,346615738537.8,0.0289999999999999,20.53,-0.0662534992524058,0.0,-0.0006202213747448055,0.009116000549214492
2020-05-18,0.3665816577023629,0.0,0.007279818609386174,346615738537.8,0.0289999999999999,20.68,-0.1946353776582906,0.0,-0.0004921733833556118,0.0065718274306249555
2020-05-19,1.0006188000852483,0.0,0.01820845706560108,346615738537.8,0.0289999999999999,21.06,0.3638313640774125,0.0,0.0004279905907402669,-0.00913035219282394
2020-05-20,-0.4704639311425667,0.0,-0.0071479932652871725,346615738537.8,0.0289999999999999,20.91,-0.838012727630782,0.0,-0.002506347509127298,0.003031819271408984
2020-05-21,0.41400354388505733,0.0,0.008097210232619303,346615738537.8,0.0289999999999999,21.08,0.47723026050377465,0.0,-0.0011374246072987702,-0.0019630675801252675
2020-05-22,-1.0551104791582888,0.0,-0.01722530628187928,346615738537.8,0.0289999999999999,20.72,-0.14755583047971219,0.0,-0.00012884660829127884,-0.005228882380250152
2020-05-25,-0.05576513386306898,0.0,0.0,346615738537.8,0.0289999999999999,20.72,0.16039740039235986,0.0,0.0016308316562423325,-0.0034166632797777916
2020-05-26,0.3627227209629264,0.0,0.007213303697827194,346615738537.8,0.0289999999999999,20.87,-0.22975661395779579,0.0,0.000771571901624021,0.0004147632740499967
2020-05-27,-1.008708249376212,0.0,-0.01642549005826712,346615738537.8,0.0289999999999999,20.53,0.2615050048448816,0.0,-0.00027855451813410634,-0.011888693529427952
2020-05-28,-0.05576513386306898,0.0,0.0,346615738537.8,0.0289999999999999,20.53,-0.5636337032397569,0.0,-0.00010715701727977629,0.006923296691381394
2020-05-29,-0.11231105911681759,0.0,-0.0009746589465529893,346615738537.8,0.024,20.51,0.11963630110239377,0.0,-0.0010292920237973818,0.006519228784386677
2020-06-01,0.366992005555107,0.0,0.007286891607203101,346615738537.8,0.024,20.66,-0.036323349387156124,0.0,-0.0001716517190843308,0.003174961257681905
2020-06-02,-0.4219763480275029,0.0,-0.006312232660650224,346615738537.8,0.024,20.53,0.11525402374633051,0.0,-0.0008157482795706884,0.0005845171882667884
2020-06-03,0.7301449064310792,0.0,0.013546409374700816,346615738537.8,0.024,20.81,0.2620003696908582,0.0,-0.00038663946352133664,-0.00725611642594147
2020-06-04,-0.3632470686863429,0.0,-0.005299940134219656,346615738537.8,0.024,20.7,-0.40703522856870983,0.0,4.2967323357109444e-05,-0.006193690678768562
2020-06-05,0.30744794330308584,0.0,0.0062605550015571755,346615738537.8,0.024,20.83,-0.019117180634218956,0.0,-0.0005157297690380465,-0.0033909082950589345
2020-06-08,0.6914119462536837,0.0,0.012878785209140335,346615738537.8,0.024,21.1,1.2021713120415867,0.0,0.00012895737976476861,-0.00884821699435334
2020-06-09,-0.5250867273344255,0.0,-0.008089504024112475,346615738537.8,0.024,20.93,-1.0144043270326155,0.0,0.0,0.011385211320180411
2020-06-10,-0.2223186876323402,0.0,-0.0028708153687988856,346615738537.8,0.024,20.87,-0.13166163402878853,0.0,-0.0019361090268664404,0.011291523709421948
2020-06-11,-3.491368560551016,0.0,-0.05921808868814166,346615738537.8,0.024,19.67,1.1853521265840845,0.0,-0.00010767160171914487,0.002542318321075112
2020-06-12,1.1988439443641152,0.0,0.02162518266406225,346615738537.8,0.024,20.1,-0.3075426716297442,0.0,0.00032298003187579844,-0.0006478782215607541
2020-06-15,-1.3103742120902588,0.0,-0.021625182664062347,346615738537.8,0.024,19.67,-0.957404857632968,0.0,0.0007747267323879191,-0.005065601899134033
2020-06-16,0.706073582357078,0.0,0.013131501823735481,346615738537.8,0.024,19.93,-0.09257851048586475,0.0,-0.0003227298671470818,-0.000991972029298548
2020-06-17,-0.37686143119080745,0.0,-0.005534605322861383,346615738537.8,0.024,19.82,-0.33343161222099466,0.0,0.00019365041856725498,-0.0014089063675744536
2020-06-18,0.2653311634646738,0.0,0.005534605322861458,346615738537.8,0.024,19.93,0.042634636225345614,0.0,-0.0009470920678663969,0.003604916967864131
2020-06-19,0.4370052281439661,0.0,0.00849368084032673,346615738537.8,0.024,20.1,-0.09891700709882191,0.0,0.00030144478405807194,0.005059521783606268
2020-06-22,-0.05576513386306898,0.0,0.0,346615738537.8,0.024,20.1,0.0544420469648358,0.0,-0.00021530843015682102,0.010337747001018223
2020-06-23,0.604331345736481,0.0,0.011377812575225004,346615738537.8,0.024,20.33,0.7662315375289854,0.0,-4.306724951680878e-05,0.004451981750132369
2020-06-24,-0.45666781800862993,0.0,-0.006910195315509044,346615738537.8,0.024,20.19,-1.0261596853807153,0.0,0.00017225787045736506,0.004713178289177878
2020-06-25,-0.5753159020193825,0.0,-0.008955283729104055,346615738537.8,0.024,20.01,0.18562471698510652,0.0,-0.00010765769170771287,-0.006323107093944083
2020-06-26,0.031150410059740726,0.0,0.0014981276210219918,346615738537.8,0.024,20.04,-0.19243533609666127,0.0,-6.460017874966637e-05,0.00198802731239547
2020-06-29,-1.077973312059953,0.0,-0.017619383565629726,346615738537.8,0.0317,19.69,0.7538498560305016,0.0,-0.00012921287839668107,0.001972820814477687
2020-06-30,-0.5588409462348407,0.0,-0.008671311666087821,346615738537.8,0.0317,19.52,0.21856556673438188,0.05135926878905406,-0.0002584758554863918,0.005951195448335591
2020-07-01,0.6531982471970447,0.0,0.012220111334775397,346615738537.8,0.0317,19.76,-0.6094868517086416,0.0,0.00015078570149306452,0.0015717073595899467
2020-07-02,-0.11451563480023569,0.0,-0.00101265831438638,346615738537.8,0.0317,19.74,-0.4746343701341165,0.0,-0.00015078570149306192,-0.005076380568637151
2020-07-03,0.061676434009268755,0.0,0.0020242921892306607,346615738537.8,0.0317,19.78,-0.01758829907113278,0.0,0.0,-0.0017991582545876612
2020-07-06,0.6149488647874998,0.0,0.011560822401076006,346615738537.8,0.0317,20.01,0.7214263292079222,0.0,-0.00010771799439515622,0.005594867554163954
2020-07-07,0.7504271003778158,0.0,0.013896005242081183,346615738537.8,0.0317,20.29,0.9215525292692944,0.0,0.00017234322195231808,0.006108958971864195
2020-07-08,0.2579133210600853,0.0,0.0054067470124472515,346615738537.8,0.0317,20.4,-0.6206113166542849,0.0,-6.462522755718582e-05,0.011304492255141869
2020-07-09,0.7351191741882396,0.0,0.013632148790057627,346615738537.8,0.0317,20.68,0.4453944110226003,0.0,-0.00017235436099202804,-0.0013097218438542647
2020-07-10,-0.7330037352170748,0.0,-0.011673284304724621,346615738537.8,0.0317,20.44,-0.6803021107867115,0.0,-6.464054472680459e-05,-0.00278472607049794
2020-07-13,0.9850367162196555,0.0,0.0179398750700393,346615738537.8,0.0317,20.81,0.8271331382843259,0.0,-0.0003017111354295885,0.0014953418207158315
2020-07-14,-0.19532766139497773,-0.02115237500522668,-0.0024055821078549804,346615738537.8,0.0317,20.76,-0.5413036624685145,0.0,0.0015076462041599794,-0.00149534182071573
2020-07-15,0.00010017109643172827,0.0,0.0009629273733933429,346615738537.8,0.0317,20.78,-0.02152668836789401,0.0,-0.0017232099040677626,0.0022394202313013225
2020-07-16,-0.05576513386306898,0.0,0.0,346615738537.8,0.0317,20.78,-0.35766264115791035,0.0,-0.00021561017763556785,-0.0008764169990569489
2020-07-17,-0.6450511719546349,0.0,-0.010157282006215552,346615738537.8,0.0317,20.57,0.21362197071719555,0.0,0.0003449539736252914,-0.0004522890314278607
2020-07-20,-0.9081229928112509,0.0,-0.014691743200957222,346615738537.8,0.0317,20.27,0.4452929295220267,0.0,0.0,0.004497234656683778
2020-07-21,0.42877413566636113,0.0,0.008351804871595087,346615738537.8,0.0317,20.44,-0.77931443620135,0.0,-0.00023714307383884066,0.012547544762979857
2020-07-22,-0.5403044033925007,0.0,-0.008351804871595115,346615738537.8,0.0317,20.27,-0.1393966729530004,0.0,0.00021558693626664094,0.015424830062682207
2020-07-23,0.3719791093806062,0.0,0.007372852272610891,346615738537.8,0.0317,20.42,0.11615557651899076,0.0,-0.0003880899554972652,0.013832462190870093
2020-07-24,-2.3448376110019318,0.0,-0.03945580444814989,346615738537.8,0.0317,19.63,1.2387737696154513,0.0,2.1564504826000578e-05,0.004194531190902263
2020-07-27,-2.9026383249010617,0.0,-0.049070386820898135,346615738537.8,0.0317,18.69,0.03221745572140356,0.0,4.3127614618239104e-05,0.020373584470007932
2020-07-28,2.524503027142791,0.0,0.04447502514716514,346615738537.8,0.0317,19.54,-0.5164916215893093,0.0,0.0005389383046104014,0.018045487576946215
2020-07-29,-1.5291740044460542,0.0,-0.02539654504192661,346615738537.8,0.0339,19.05,-0.22866681072403,0.0,-0.0006683267288398508,-0.00023726529147280375
2020-07-30,0.7307010194932999,0.0,0.01355599486771302,346615738537.8,0.0339,19.31,-0.9315918602734762,0.0,-6.470049066794848e-05,-0.004260148312866836
2020-07-31,-0.9031725897951609,0.0,-0.014606415132364778,346615738537.8,0.0339,19.03,0.5916068338204736,0.0,2.156729535424668e-05,0.004482270693114611
2020-08-03,1.7451900693277735,0.0,0.031042326980311383,346615738537.8,0.0339,19.63,0.22990931241242685,0.0,-2.156729535411132e-05,0.0020724455459066073
2020-08-04,0.765923468340076,0.0,0.014163109787735297,346615738537.8,0.0339,19.91,-0.28084822416529864,0.0,0.0,0.0173479700047703
2020-08-05,0.4952543441993759,0.0,0.00949769698892525,346615738537.8,0.0339,20.1,0.23402853509010832,0.0,-2.1567760512396777e-05,0.017733275305565167
2020-08-06,-0.31612210656538914,0.0,-0.004487666469388017,346615738537.8,0.0339,20.01,-0.14112604338552087,0.0,0.0,0.006660325061480443
2020-08-07,0.3199320651341161,0.0,0.006475738694774124,346615738537.8,0.0339,20.14,0.10679924580460079,0.0,0.0,0.0014772834194294216
2020-08-10,0.08808843529605899,0.0,0.002479545034329921,346615738537.8,0.0339,20.19,-0.10099982331949012,0.0,0.0007545949800202452,-0.011060020574936196
2020-08-11,-0.3149589293170629,0.0,-0.004467617259716045,346615738537.8,0.0339,20.1,0.04162520866031062,0.0,-0.0007761632057110062,-0.009069834744338886
2020-08-12,0.5472288660108942,0.0,0.010393560527263082,346615738537.8,0.0339,20.31,0.019272615251088723,0.0,4.3135986203175106e-05,-0.04136892433136677
2020-08-13,0.512746173956832,0.0,0.009799196491996096,346615738537.8,0.0339,20.51,0.32633017248409446,0.0,4.3134125570074186e-05,0.008973296269804401
2020-08-14,-0.25411101839790323,0.0,-0.003418806748785609,346615738537.8,0.0339,20.44,-0.04507668851590036,0.0,0.0,-0.0021427943406201713
2020-08-17,0.1991266759255148,0.0,0.004393465695338615,346615738537.8,0.0339,20.53,-0.44322450495822585,0.0,0.00015095478932725467,0.014311505343114114
2020-08-18,-0.25391746263273224,0.0,-0.003415470507361771,346615738537.8,0.0339,20.46,-0.5173494031330118,0.0,-0.0002156566754098339,0.012141512160335374
2020-08-19,-0.05576513386306898,0.0,0.0,346615738537.8,0.0339,20.46,0.33865201802263134,0.0,-0.00021570319324354725,-0.004336438290263572
2020-08-20,0.19887806082811815,0.0,0.004389180418763187,346615738537.8,0.0339,20.55,0.7322992718947281,0.0,0.00021570319324368319,-0.0255004353899374
2020-08-21,0.36617210568627634,0.0,0.007272759329079657,346615738537.8,0.0339,20.7,-0.36998923573983644,0.0,2.1567760512340503e-05,0.00019425615290772844
2020-08-24,1.219365639700725,0.0,0.021978906718775382,346615738537.8,0.0339,21.16,1.0329076736773917,0.0,0.00019408891489755862,0.002894033017161888
2020-08-25,0.4356684233338902,0.0,0.008470638883508646,346615738537.8,0.0339,21.34,-0.06884942781573375,0.0,-0.000172521619543348,-0.012560459931191648
2020-08-26,-0.6020602693492094,0.0,-0.009416265431515709,346615738537.8,0.0339,21.14,-0.910917364356043,0.0,-4.313505586659479e-05,0.009042628472727781
2020-08-27,1.6479299878917737,0.0,0.029365894804364537,346615738537.8,0.0339,21.77,1.0306449120158385,0.0,0.0,0.010769612697385371
2020-08-28,0.02412854144474506,0.0,0.0013770945485872725,346615738537.8,0.0339,21.8,0.07357244863408849,0.0,0.0,-0.0012708444217348427
2020-08-29,-0.05576513386306898,0.0,0.0,346615738537.8,0.0318,21.8,0.0,0.0,0.0,0.0
